uniq_id,description,image,cat_lvl_0,cat_lvl_1,cat_lvl_2,cat_lvl_3,encoded_cat_lvl_0,image_path,clusters_labels
920154acbe49d3202ed7d2ed2df1ea13,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys
                         Price: Rs. 699
				
			CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.
CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.",920154acbe49d3202ed7d2ed2df1ea13.jpg,Watches,Wrist Watches,Calibro Wrist Watches,,6,Dataset\Images\920154acbe49d3202ed7d2ed2df1ea13.jpg,4
08452abdadb3db1e686b94a9c52fc7b6,"Cartier W6701005 Analog Watch  - For Boys, Men - Buy Cartier W6701005 Analog Watch  - For Boys, Men  W6701005 Online at Rs.201000 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",08452abdadb3db1e686b94a9c52fc7b6.jpg,Watches,Wrist Watches,Cartier Wrist Watches,,6,Dataset\Images\08452abdadb3db1e686b94a9c52fc7b6.jpg,4
1e8741b5ae27a513546c94b3f3312aee,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men - Buy Lois Caron LCS-4032 Analog Watch  - For Boys, Men  LCS-4032 Online at Rs.399 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",1e8741b5ae27a513546c94b3f3312aee.jpg,Watches,Wrist Watches,Lois Caron Wrist Watches,,6,Dataset\Images\1e8741b5ae27a513546c94b3f3312aee.jpg,4
189fa66a5fa6f08d2802a62ecf0be298,"Titan 1639SL03 Analog Watch  - For Boys, Men - Buy Titan 1639SL03 Analog Watch  - For Boys, Men  1639SL03 Online at Rs.1695 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",189fa66a5fa6f08d2802a62ecf0be298.jpg,Watches,Wrist Watches,Titan Wrist Watches,,6,Dataset\Images\189fa66a5fa6f08d2802a62ecf0be298.jpg,4
bbb8cdc5406ff60ff06ff64630f2ca47,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls - Buy Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls  Megnet_Led_Sport_BlackRed1 Online at Rs.200 in India Only at Flipkart.com. Led Watch, Sports Led, Megnet watch, Fresh arrival, latest, fancy, Srushti, GirlsWatch, Men, Women, Boys, Wrist Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",bbb8cdc5406ff60ff06ff64630f2ca47.jpg,Watches,Wrist Watches,Srushti Art Jewelry Wrist Watches,,6,Dataset\Images\bbb8cdc5406ff60ff06ff64630f2ca47.jpg,4
1120bc768623572513df956172ffefeb,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys
                         Price: Rs. 1,829
				
			If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.
If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.",1120bc768623572513df956172ffefeb.jpg,Watches,Wrist Watches,Escort Wrist Watches,,6,Dataset\Images\1120bc768623572513df956172ffefeb.jpg,4
5479bb7028827d60000720a2c135976a,"Jack klein BlackLed Digital Watch  - For Boys - Buy Jack klein BlackLed Digital Watch  - For Boys  BlackLed Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",5479bb7028827d60000720a2c135976a.jpg,Watches,Wrist Watches,Jack klein Wrist Watches,,6,Dataset\Images\5479bb7028827d60000720a2c135976a.jpg,4
733aa1e801a139fa8dc7be9f0eff5ee0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women - Buy North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women  IW-005-FK Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",733aa1e801a139fa8dc7be9f0eff5ee0.jpg,Watches,Wrist Watches,North Moon Wrist Watches,,6,Dataset\Images\733aa1e801a139fa8dc7be9f0eff5ee0.jpg,0
62c35de4df27437d3597963fac55a8b6,"Franck Bella FB74C Analog Watch  - For Boys, Men - Buy Franck Bella FB74C Analog Watch  - For Boys, Men  FB74C Online at Rs.780 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",62c35de4df27437d3597963fac55a8b6.jpg,Watches,Wrist Watches,Franck Bella Wrist Watches,,6,Dataset\Images\62c35de4df27437d3597963fac55a8b6.jpg,4
33d97d63c037078cd3f08033966d6a88,"Ridas Apl_led_black Apple Shape Digital Watch  - For Boys - Buy Ridas Apl_led_black Apple Shape Digital Watch  - For Boys  Apl_led_black Online at Rs.249 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",33d97d63c037078cd3f08033966d6a88.jpg,Watches,Wrist Watches,Ridas Wrist Watches,,6,Dataset\Images\33d97d63c037078cd3f08033966d6a88.jpg,4
d7ca2b06b4f4d3b98c61c377b18a2d6b,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys - Buy Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys  AD1057-Dark-Orange Online at Rs.1199 in India Only at Flipkart.com. Digital Chronograph, Alarm Watch, Light Function, Date & Month Display - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",d7ca2b06b4f4d3b98c61c377b18a2d6b.jpg,Watches,Wrist Watches,Skmei Wrist Watches,,6,Dataset\Images\d7ca2b06b4f4d3b98c61c377b18a2d6b.jpg,4
f74476ba64365d97a5be7d375cbf4c7a,"Now SP-ETHNIC Analog Watch  - For Boys - Buy Now SP-ETHNIC Analog Watch  - For Boys  SP-ETHNIC Online at Rs.600 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",f74476ba64365d97a5be7d375cbf4c7a.jpg,Watches,Wrist Watches,Now Wrist Watches,,6,Dataset\Images\f74476ba64365d97a5be7d375cbf4c7a.jpg,4
fda50982a672ef8835de5c1cc86f8bfc,"Franck Bella FB127A Analog Watch  - For Boys, Men - Buy Franck Bella FB127A Analog Watch  - For Boys, Men  FB127A Online at Rs.999 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",fda50982a672ef8835de5c1cc86f8bfc.jpg,Watches,Wrist Watches,Franck Bella Wrist Watches,,6,Dataset\Images\fda50982a672ef8835de5c1cc86f8bfc.jpg,0
4788f5466992da09024b8ffcc8a5cba4,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys - Buy Skmei DG0939-Red Sports Digital Watch  - For Men, Boys  DG0939-Red Online at Rs.999 in India Only at Flipkart.com. Digital Chronograph, Alarm Watch, Light Function, Date & Month Display - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",4788f5466992da09024b8ffcc8a5cba4.jpg,Watches,Wrist Watches,Skmei Wrist Watches,,6,Dataset\Images\4788f5466992da09024b8ffcc8a5cba4.jpg,4
653826cd53f1d9e2c086c0ac7846ef70,"fastrack 38015PL01 Analog Watch  - For Men, Boys - Buy fastrack 38015PL01 Analog Watch  - For Men, Boys  38015PL01 Online at Rs.2495 in India Only at Flipkart.com. Stainless steel back cover. Hybrid case construction for a sportier and more rugged look with increased shock resistance. High precision quartz analogue movement. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",653826cd53f1d9e2c086c0ac7846ef70.jpg,Watches,Wrist Watches,fastrack Wrist Watches,,6,Dataset\Images\653826cd53f1d9e2c086c0ac7846ef70.jpg,4
3c74db45cbfc14a78b8466dca494b3bb,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls - Buy Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls  WQ18 Online at Rs.7495 in India Only at Flipkart.com. Qibla Compass, Light, Azan Time Calculation - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",3c74db45cbfc14a78b8466dca494b3bb.jpg,Watches,Wrist Watches,Alfajr Wrist Watches,,6,Dataset\Images\3c74db45cbfc14a78b8466dca494b3bb.jpg,4
4aa047f14885c74f155ce5f973e14dff,"Disney 98189 Analog Watch  - For Boys, Girls - Buy Disney 98189 Analog Watch  - For Boys, Girls  98189 Online at Rs.900 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",4aa047f14885c74f155ce5f973e14dff.jpg,Watches,Wrist Watches,Disney Wrist Watches,,6,Dataset\Images\4aa047f14885c74f155ce5f973e14dff.jpg,4
7c4fec2331da8d40f2cb146eb198cb57,"Disney DW100405 Digital Watch  - For Boys - Buy Disney DW100405 Digital Watch  - For Boys  DW100405 Online at Rs.1345 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",7c4fec2331da8d40f2cb146eb198cb57.jpg,Watches,Wrist Watches,Disney Wrist Watches,,6,Dataset\Images\7c4fec2331da8d40f2cb146eb198cb57.jpg,4
b52073e7ed9c00c4108cae4eb0c49c1a,"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls
                         Price: Rs. 595
				
			Brand: Vizion,Sports Series watch for Kids,1 year manufacturer warranty,Digital display,Automatic movement,Metal Case and solid body ,Dial shape:Round,Dial dimension:22mm ,Strap material:Silicone ,Strap width:20mm,Water resistant,Night display cold backLight, Daily Alarm,Hour minute second ,date week display, 12/24 hour format,Attractive brand packaging- Tuff plastic box,Note: In case of non-receipt of warranty card, please intimate us within 48 hours,Disclaimer: Product color may slightly vary due to photographic lighting sources or your monitor settings (The image has been enlarged for better viewing)
Brand: Vizion,Sports Series watch for Kids,1 year manufacturer warranty,Digital display,Automatic movement,Metal Case and solid body ,Dial shape:Round,Dial dimension:22mm ,Strap material:Silicone ,Strap width:20mm,Water resistant,Night display cold backLight, Daily Alarm,Hour minute second ,date week display, 12/24 hour format,Attractive brand packaging- Tuff plastic box,Note: In case of non-receipt of warranty card, please intimate us within 48 hours,Disclaimer: Product color may slightly vary due to photographic lighting sources or your monitor settings (The image has been enlarged for better viewing)",b52073e7ed9c00c4108cae4eb0c49c1a.jpg,Watches,Wrist Watches,Vizion Wrist Watches,,6,Dataset\Images\b52073e7ed9c00c4108cae4eb0c49c1a.jpg,4
ee8d9ff65e0fe4278afce7c933d30941,"Elantra S 10 Analog Watch  - For Boys, Men - Buy Elantra S 10 Analog Watch  - For Boys, Men  S 10 Online at Rs.950 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",ee8d9ff65e0fe4278afce7c933d30941.jpg,Watches,Wrist Watches,Elantra Wrist Watches,,6,Dataset\Images\ee8d9ff65e0fe4278afce7c933d30941.jpg,4
788dc3a3da91c0f46a7c465e07f91dd4,"Marvel DW100243 Digital Watch  - For Boys, Girls - Buy Marvel DW100243 Digital Watch  - For Boys, Girls  DW100243 Online at Rs.299 in India Only at Flipkart.com. Buckle Clasp, Multi-color Strap, Contemporary Dial - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",788dc3a3da91c0f46a7c465e07f91dd4.jpg,Watches,Wrist Watches,Marvel Wrist Watches,,6,Dataset\Images\788dc3a3da91c0f46a7c465e07f91dd4.jpg,4
29b1ca231e10d5269516b80bf9d0dffc,"Lenco Bdblue Tango Analog Watch  - For Men, Boys - Buy Lenco Bdblue Tango Analog Watch  - For Men, Boys  Bdblue Online at Rs.599 in India Only at Flipkart.com. Sports Watch, Casual Watch, Big Size Dial, Colourful Strap - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",29b1ca231e10d5269516b80bf9d0dffc.jpg,Watches,Wrist Watches,Lenco Wrist Watches,,6,Dataset\Images\29b1ca231e10d5269516b80bf9d0dffc.jpg,4
8b268c1e68f198ae2e934717d49f48e9,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys - Buy D'Signer 681GM_WHT Analog Watch  - For Men, Boys  681GM_WHT Online at Rs.6645 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",8b268c1e68f198ae2e934717d49f48e9.jpg,Watches,Wrist Watches,D'Signer Wrist Watches,,6,Dataset\Images\8b268c1e68f198ae2e934717d49f48e9.jpg,4
b85f8843bb1c297dd5712f0bd287006d,"Key Features of SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Color: Multicolor No of Contents: 8 Diwan Sheet Length225 cm Cushion Cover Length:40 cm,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Price: Rs. 979 Add oodles of style to your home with an exciting range of designer furniture, furnishings, decor items and kitchenware. We promise to deliver best quality products at best prices.,Specifications of SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set General Brand SANTOSH ROYAL FASHION Material Cotton Pattern Embroidered Style Code dsnsan-34 Color Multicolor Dimensions Bolster Cover Length 23 inch / 40 cm Cushion Cover Width 15 inch / 40 cm Diwan Sheet Length 88 inch / 225 cm Cushion Cover Length 15 inch / 40 cm Diwan Sheet Width 59 inch / 150 cm In the Box Number of Contents in Sales Package Pack of 8 Sales Package 1 Diwan Sheet,5 Cushion Covers, 2 Bolster Covers Additional Features Fabric Care Machine Washable, Do Not Soak",b85f8843bb1c297dd5712f0bd287006d.jpg,Home Furnishing,Living Room Furnishing,Diwan Sets,SANTOSH ROYAL FASHION Diwan Sets,4,Dataset\Images\b85f8843bb1c297dd5712f0bd287006d.jpg,1
a4b09aa7927c59fbb39960b3d7919909,"Key Features of House This Queen Cotton Duvet Cover Material:100% Cotton Outer.Inner Polyfill Thrade :210 Dimension: Duvet Cover 229X274 Cms 1 Double Duvet Cover,Specifications of House This Queen Cotton Duvet Cover (Grey) General Brand House This Closure Button Design Code P21821 Material Cotton Pattern Printed Thread Count 210 Style Code Dco-Smart Stripe-Black Grey Size Queen Color Grey Dimensions Length 107 inch / 274 cm Width 90 inch / 229 cm In the Box Number of Contents in Sales Package Pack of 1 Fabric Care Machine Washable, Do Not Soak Additional Features Reversible No",a4b09aa7927c59fbb39960b3d7919909.jpg,Home Furnishing,Bed Linen,Duvet Covers,House This Duvet Covers,4,Dataset\Images\a4b09aa7927c59fbb39960b3d7919909.jpg,1
81e739c7f3be737152f2e6f520e3494b,Buy Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527 at Rs. 1799 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,81e739c7f3be737152f2e6f520e3494b.jpg,Home Furnishing,Bath Linen,Bath Mats,,4,Dataset\Images\81e739c7f3be737152f2e6f520e3494b.jpg,5
f0938b0d88eac91deee6d5add54097d3,"Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener (30 ml)
                         Price: Rs. 245
				
			Illuminate Every Corner Of Your Living Room In Style With This Home Fragrance Electric Burner Combo With Fragrance That Is Brought To You By Myesquire. This Is A Very Unique, Useful And Value for Money Product For Home Decoration And Fragrance. This Unique Combo Contains Aroma Burner With All Accessories and is ready to use . Put A Small Amount 1-2 Tea Spoon Of Aroma Oil On The Bowl Surface And Light The Tea Light and After Few Minutes As The Oil Heats Up, The Fragrance Will Spread In The Room. And You Will Be All Set To Enjoy The Captivating Aroma. Keep It Away From Children As Surface Becomes Hot.
Illuminate Every Corner Of Your Living Room In Style With This Home Fragrance Electric Burner Combo With Fragrance That Is Brought To You By Myesquire. This Is A Very Unique, Useful And Value for Money Product For Home Decoration And Fragrance. This Unique Combo Contains Aroma Burner With All Accessories and is ready to use . Put A Small Amount 1-2 Tea Spoon Of Aroma Oil On The Bowl Surface And Light The Tea Light and After Few Minutes As The Oil Heats Up, The Fragrance Will Spread In The Room. And You Will Be All Set To Enjoy The Captivating Aroma. Keep It Away From Children As Surface Becomes Hot.",f0938b0d88eac91deee6d5add54097d3.jpg,Home Decor & Festive Needs,Candles & Fragrances,Home Fragrances,Aroma Oils,3,Dataset\Images\f0938b0d88eac91deee6d5add54097d3.jpg,6
